연도,업종구분,연초 활동기업 수,창업 수,폐업 수,창업률(%),폐업률(%),창업기업수,1년생존율(%),2년생존율(%),3년생존율(%),4년생존율(%),5년생존율(%)
2023,일식,85,48,16,56.47,18.82,48,70.83,66.67,,,
2024,일식,117,35,24,29.91,20.51,35,68.57,,,,
2025,일식,128,24,14,18.75,10.94,24,,,,,
2020,주점,0,27,1,,,27,77.78,70.37,59.26,40.74,37.04
2021,주점,26,24,7,92.31,26.92,24,91.67,62.5,58.33,58.33,
2022,주점,43,24,6,55.81,13.95,24,70.83,58.33,58.33,,
2023,주점,61,41,24,67.21,39.34,41,65.85,58.54,,,
2024,주점,78,39,24,50,30.77,39,66.67,,,,
2025,주점,93,19,7,20.43,7.53,19,,,,,
2020,중식,0,8,1,,,8,87.5,75,75,75,75
2021,중식,7,5,0,71.43,0,5,100,100,100,80,
2022,중식,12,15,1,125,8.33,15,86.67,80,80,,
2023,중식,26,12,3,46.15,11.54,12,91.67,91.67,,,
2024,중식,35,8,1,22.86,2.86,8,100,,,,
2025,중식,42,3,1,7.14,2.38,3,,,,,
2020,축산/정육점,0,2,0,,,2,100,100,100,100,100
2021,축산/정육점,2,11,0,550,0,11,100,100,90.91,90.91,
2022,축산/정육점,13,4,0,30.77,0,4,100,100,100,,
2023,축산/정육점,17,10,0,58.82,0,10,90,90,,,
2024,축산/정육점,27,10,2,37.04,7.41,10,80,,,,
2025,축산/정육점,35,1,2,2.86,5.71,1,,,,,
2020,치킨,0,9,1,,,9,66.67,66.67,66.67,44.44,44.44
2021,치킨,8,8,3,100,37.5,8,62.5,62.5,50,50,
2022,치킨,13,8,4,61.54,30.77,8,62.5,50,50,,
2023,치킨,17,8,3,47.06,17.65,8,62.5,62.5,,,
2024,치킨,22,8,9,36.36,40.91,8,37.5,,,,
2025,치킨,21,4,1,19.05,4.76,4,,,,,
2020,카페/제과제빵,0,164,11,,,164,79.88,60.37,53.66,45.73,42.07
2021,카페/제과제빵,153,209,51,136.6,33.33,209,76.08,57.89,47.85,43.06,
2022,카페/제과제빵,311,228,81,73.31,26.05,228,70.18,49.56,43.42,,
2023,카페/제과제빵,458,202,129,44.1,28.17,202,60.4,53.96,,,
2024,카페/제과제빵,531,265,209,49.91,39.36,265,59.25,,,,
2025,카페/제과제빵,587,159,113,27.09,19.25,159,,,,,
2020,편의점,0,18,2,,,18,77.78,72.22,61.11,50,44.44
2021,편의점,16,20,2,125,12.5,20,95,85,75,75,
2022,편의점,34,20,3,58.82,8.82,20,90,75,75,,
2023,편의점,51,15,5,29.41,9.8,15,93.33,86.67,,,
2024,편의점,61,16,9,26.23,14.75,16,93.75,,,,
2025,편의점,68,5,2,7.35,2.94,5,,,,,
2020,피부미용업,0,17,0,,,17,76.47,64.71,41.18,41.18,35.29
2021,피부미용업,17,23,4,135.29,23.53,23,86.96,65.22,56.52,56.52,
2022,피부미용업,36,24,9,66.67,25,24,75,54.17,50,,
2023,피부미용업,51,27,11,52.94,21.57,27,88.89,81.48,,,
2024,피부미용업,67,35,11,52.24,16.42,35,85.71,,,,
2025,피부미용업,91,15,9,16.48,9.89,15,,,,,
2020,한식,0,121,5,,,121,89.26,76.03,61.16,50.41,47.93
2021,한식,116,84,11,72.41,9.48,84,88.1,77.38,71.43,67.86,
2022,한식,189,118,42,62.43,22.22,118,76.27,66.1,63.56,,
2023,한식,265,127,53,47.92,20,127,78.74,73.23,,,
2024,한식,339,145,60,42.77,17.7,145,80,,,,
2025,한식,424,87,34,20.52,8.02,87,,,,,
2020,헬스/체력단련,0,4,0,,,4,100,100,100,100,100
2021,헬스/체력단련,4,8,0,200,0,8,100,87.5,87.5,87.5,
2022,헬스/체력단련,12,6,0,50,0,6,83.33,66.67,66.67,,
2023,헬스/체력단련,18,5,2,27.78,11.11,5,100,100,,,
2024,헬스/체력단련,21,17,2,80.95,9.52,17,94.12,,,,
2025,헬스/체력단련,36,7,0,19.44,0,7,,,,,
